City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Borogontsy,RU,2020-10-25 00:12:08,62.67,131.17,9.41,96,25,3.02
280,Slave Lake,CA,2020-10-25 00:12:57,55.28,-114.77,23.0,62,90,23.04
281,Maanshan,CN,2020-10-25 00:12:57,31.7,118.5,59.0,100,30,4.47
282,Muroto,JP,2020-10-25 00:12:57,33.28,134.15,53.6,76,20,9.17
283,Xichang,CN,2020-10-25 00:12:58,27.9,102.26,57.25,74,77,0.36
284,Porgera,PG,2020-10-25 00:12:58,-5.47,143.2,57.15,64,26,2.04
285,Plettenberg Bay,ZA,2020-10-25 00:12:58,-34.05,23.37,62.06,90,0,5.37
286,Kez,RU,2020-10-25 00:12:58,57.9,53.72,34.86,96,80,6.98
287,Port Macquarie,AU,2020-10-25 00:12:58,-31.43,152.92,72.0,77,90,11.41
288,Ranong,TH,2020-10-25 00:12:59,9.97,98.63,75.2,94,20,4.74
289,Kurilsk,RU,2020-10-25 00:12:59,45.23,147.88,50.02,68,63,17.58
290,Sao Joao Da Barra,BR,2020-10-25 00:12:59,-21.64,-41.05,72.39,92,100,16.28
291,Nueva Helvecia,UY,2020-10-25 00:12:59,-34.3,-57.23,64.99,94,30,8.68
292,Hobyo,SO,2020-10-25 00:10:27,5.35,48.53,79.09,79,99,8.01
293,Dikson,RU,2020-10-25 00:12:50,73.51,80.55,21.99,93,19,4.23
294,Inuvik,CA,2020-10-25 00:13:00,68.35,-133.72,24.8,62,75,2.24
295,Alta Floresta,BR,2020-10-25 00:13:00,-9.88,-56.09,71.17,96,99,3.76
296,Paraiso,CR,2020-10-25 00:13:00,9.84,-83.87,69.8,88,75,3.36
297,Luderitz,NA,2020-10-25 00:13:01,-26.65,15.16,61.81,70,53,18.28
298,Poli,TZ,2020-10-25 00:13:01,-3.33,36.8,71.6,77,20,6.93
299,Yining,CN,2020-10-25 00:09:43,29.04,114.56,57.38,66,99,1.03
300,Shahr-E Babak,IR,2020-10-25 00:13:01,30.12,55.12,44.31,56,0,6.13
301,Pisco,PE,2020-10-25 00:10:41,-13.7,-76.22,64.4,77,0,16.11
302,Nome,US,2020-10-25 00:11:03,64.5,-165.41,37.99,86,90,10.29
303,Fria,GN,2020-10-25 00:13:02,10.42,-13.58,72.05,96,5,0.29
304,Ayame,CI,2020-10-25 00:13:03,5.61,-3.16,73.51,95,63,2.3
305,Mareeba,AU,2020-10-25 00:13:03,-17.0,145.43,87.01,69,75,8.05
306,Bredasdorp,ZA,2020-10-25 00:13:03,-34.53,20.04,62.6,82,12,8.05
